RT @LaLaLand: Heres to the ones who dream. Congratulations to #LALALANDs Emma Stone for her #GoldenGlobes Best Actress win!  https://t.c	aRthur	505372294	818608286198992896	2017-01-09 23:59:59
RT @VoteTrumpPics: Sylvester Stallone to @realDonaldTrump"To President Trump, A Real Champ! Greatest Knockout in History!" - @TheSlyStall	Kamehamedoukenn	2982913541	818608285712519168	2017-01-09 23:59:58
RT @MyDaughtersArmy: Meryl Streep beautifully calls outs Donald Trump for mocking disabled reporter during her speech at #GoldenGlobeshttp	TC Ronaldinho	938301480	818608283376304128	2017-01-09 23:59:58
RT @larryelder: "The True Story: Donald Trump Did NOT Mock A Reporter's Disability"https://t.co/VKJG381ySH#MerylStreep #GoldenGlobes	Casey	794707137129840640	818608280771690496	2017-01-09 23:59:57
I've always liked Meryl Streep well enough but this is pretty accurate #GoldenGlobes https://t.co/l9i7TfYi3j	Southern Belle	627049569	818608280272572418	2017-01-09 23:59:57
RT @Amy_Siskind: Bears repeating:Trump did this while his supporters cheered. You will all be judged. #MerylStreep #GoldenGlobes https:/	ExpatSoutherner	250906472	818608280226234368	2017-01-09 23:59:57
@mymac24 @goldenglobes Yeah, Trump	Andrew	779764336910753794	818608276430581764	2017-01-09 23:59:56
RT @netflix: I think you'll find it's pronounced Yes, Queen. #GoldenGlobes @TheCrownNetflix https://t.co/At2Xw7fMtK	Dawne Thompson	772555236896485376	818608275516260355	2017-01-09 23:59:56
RT @DBloom451: Dana White hits back at #MerylStreep's #GoldenGlobes IDIOTIC RANT in Trump-fashion SJWs are FREAKING! Added old lady pic f	Christos Emmanuel	800241122689720320	818608274496856064	2017-01-09 23:59:56
RT @anthonyanderson: Congrats to my friend and best TV wife ever! @TraceeEllisRoss #blackish #GoldenGlobes https://t.co/ZVfxZ0vLqG	Jazz	231312029	818608273045725186	2017-01-09 23:59:55
RT @EW: Watch Justin Timberlake, Tina Fey and more spoof #LaLaLand during the #GoldenGlobes cold open. https://t.co/VC8mynFzLt	Michael Scofield	550305414	818608268243243009	2017-01-09 23:59:54
RT @Variety: .@ViolaDavis was just asked about Donald Trump's presidency backstage. Watch her response #GoldenGlobes https://t.co/Yrj9Rv8So0	Sophia	3156943212	818608266892681217	2017-01-09 23:59:54
RT @makhondlovu: 34 years since a black woman won best television actress comedy or musical series at the #GoldenGlobes.  Took too long. Co		26916650	818608266452340736	2017-01-09 23:59:54
RT @WomenintheWorld: Meryl Streep takes on @realDonaldTrump in #GoldenGlobes acceptance speech: https://t.co/CZwP7yOp1b https://t.co/SRewnl	Laura Martnez	2608765873	818608266238246912	2017-01-09 23:59:54
RT @jennyyangtv: Congratulations to Emma Stone! Hope for Asian Americans everywhere! #GoldenGlobes	FRIDA CA$HFLOW	600422715	818608263725871106	2017-01-09 23:59:53
RT @Autobot_Prof: #MerylStreep is getting more hate for criticizing Donald Trump, than he did for mocking a man with a disability. What a w	Linda Kronenberger	2802160350	818608259619753984	2017-01-09 23:59:52
RT @LucyTributePage: Perhaps our beloved Lucy said it best... #GoldenGlobes https://t.co/nwU1UyCdoh	I Love Lucy Fans	762068174778925056	818608259061968896	2017-01-09 23:59:52
RT @katwilderness: so @SofiaVergara looks absolutely STUNNING at the @goldenglobes  (p.s. I NEEEED that dress girl!) https://t.co/5XbWTxU	Esmeralda	74575480	818608257992429572	2017-01-09 23:59:52
RT @goldenglobes: Congratulations to Tom Hiddleston (@twhiddleston) - Best Actor in a Television Movie or Miniseries - The Night Manager -	Sophia	3156943212	818608257887535105	2017-01-09 23:59:52
RT @MightyBusterBro: MERYL STREEP She knows her #FakeNews is what's best for #America#AmericaFirst #MAGA #GoldenGlobes #LiberalLogic	Gina McConnachie	859014553	818608254984933377	2017-01-09 23:59:51
RT @HollywoodLife: So cute! The #StrangerThings kids had the best time at the #GoldenGlobes https://t.co/nW65dzJKVz	Richard Pennie	89431901	818608253621964801	2017-01-09 23:59:51
RT @emmastonecom: You know who else won last night? #EmmaStones glam squad  @rachel_goodwin @mararoszak &amp; Petraoh and her Valentino dre	jason wooten	184730523	818608253160427520	2017-01-09 23:59:51
RT @extratv: .@jtimberlake &amp; @jessicabiel's red carpet interview turns into a love fest! https://t.co/3QRJX9f6nh #GoldenGlobes https://t.co	A	2703018415	818608252485242881	2017-01-09 23:59:51
RT @goldenglobes: Kristen Wiig and @SteveCarell team up to present Best Motion Picture - Animated. #GoldenGlobes https://t.co/456617TZCG	Sophia	3156943212	818608248043503616	2017-01-09 23:59:49
RT @nia4_trump: I didn't watch #GoldenGlobes I heard many celebs were there who were supposed to have left the US after #TrumpWonhttps:	Steven Starnes	763811406705819649	818608239105478660	2017-01-09 23:59:47
RT @WeNeedTrump: Hollywood and #MerylStreep are vastly underestimating the power of the Trump movement. #GoldenGlobes	Lem Nivram	785187383176077313	818608234072305666	2017-01-09 23:59:46
RT @TEN_GOP: WATCH: Diamond and Silk DESTROY Hollywood Elite Meryl Streep #GoldenGlobes https://t.co/iyRhtT2Xsu	ByeByeHellary	775574552080375815	818608230230278148	2017-01-09 23:59:45
RT @riotwomennn: The respected Meryl Streep at the #GoldenGlobes reminding us of the disrespectful &amp; disrespected vile Trump &amp; this stunnin	Gallinini	2728534228	818608229861261314	2017-01-09 23:59:45
RT @VABVOX: Here's the video of #MerylStreep's speech. Best speech you're going to hear all year (except POTUS farewell Tues).https://t.c	Stacey Jane	1660972351	818608228632301570	2017-01-09 23:59:45
